module_name,current_version,newest_version,links,notes,tag
Wangkanai.Detection.dll,,,https://api.nuget.org/v3-flatcontainer/skiasharp/index.json,,0
EPiServer.ApplicationModules.dll,,,,,0
EPiServer.Marketing.Testing.Core.dll,,,,,1
Azure.Messaging.ServiceBus.dll,,,https://api.nuget.org/v3-flatcontainer/azure.messaging.servicebus/index.json,,1
EPiServer.Marketing.Testing.Web.dll,,,,,1
SixLabors.ImageSharp.Drawing.dll,,,,,0
Geta.Optimizely.Sitemaps.dll,,,https://nuget.optimizely.com/package/?id=Geta.Optimizely.Sitemaps,,1
Humanizer.dll,,,https://api.nuget.org/v3-flatcontainer/humanizer/index.json,,1
EPiServer.Commerce.UI.CustomerService.dll,,,,,0
Geta.Mapping.dll,,,https://api.nuget.org/v3-flatcontainer/geta.mapping/index.json,,1
CsvHelper.dll,,,https://api.nuget.org/v3-flatcontainer/csvhelper/index.json,,1
DocumentFormat.OpenXml.dll,,,https://api.nuget.org/v3-flatcontainer/documentformat.openxml/index.json,,1
EPiServer.Business.Commerce.dll,,,,,0
EPiServer.Azure.dll,,,https://nuget.optimizely.com/package/?id=EPiServer.Azure,,1
EPiServer.Commerce.dll,,,https://nuget.optimizely.com/package/?id=EPiServer.Commerce,,1
SixLabors.ImageSharp.dll,,,https://github.com/SixLabors/ImageSharp,,1
Azure.Core.Amqp.dll,,,https://api.nuget.org/v3-flatcontainer/azure.core.amqp/index.json,,1
Mono.TextTemplating.dll,,,https://api.nuget.org/v3-flatcontainer/mono.texttemplating/index.json,,1
EPiServer.Cms.AspNetCore.HtmlHelpers.dll,,,https://nuget.optimizely.com/package/?id=EPiServer.CMS.AspNetCore.HtmlHelpers,,1
EPiServer.CloudPlatform.Commerce.dll,,,https://nuget.optimizely.com/package/?id=EPiServer.CloudPlatform.Commerce,,1
Baaijte.Optimizely.ImageSharp.Web.dll,,,https://nuget.optimizely.com/package/?id=Baaijte.Optimizely.ImageSharp.Web,,1
BouncyCastle.Cryptography.dll,,,https://api.nuget.org/v3-flatcontainer/bouncycastle.cryptography/index.json,,1
EPiServer.Forms.dll,,,https://nuget.optimizely.com/package/?id=EPiServer.Forms,,1
X.PagedList.dll,,,https://api.nuget.org/v3-flatcontainer/x.pagedlist/index.json,,1
RestSharp.dll,,,https://api.nuget.org/v3-flatcontainer/restsharp/index.json,,1
AWSSDK.Core.dll,,,https://api.nuget.org/v3-flatcontainer/awssdk.core/index.json,,1
Newtonsoft.Json.Bson.dll,,,,,0
EntityFramework.dll,,,https://api.nuget.org/v3-flatcontainer/entityframework/index.json,,1
EPiServer.Framework.dll,,,https://nuget.optimizely.com/package/?id=EPiServer.Framework,,1
EPiServer.Forms.Core.dll,,,https://nuget.optimizely.com/package/?id=EPiServer.Forms.Core,,1
Lucene.Net.Analysis.Common.dll,,,https://api.nuget.org/v3-flatcontainer/lucene.net.analysis.common/index.json,,1
EPiServer.Personalization.Commerce.dll,,,https://nuget.optimizely.com/package/?id=EPiServer.Personalization.Commerce,,1
EPiServer.Cms.UI.AspNetIdentity.dll,,,https://nuget.optimizely.com/package/?id=EPiServer.CMS.UI.AspNetIdentity,,1
EPiServer.Marketing.KPI.dll,,,https://nuget.optimizely.com/package/?id=EPiServer.Marketing.KPI,,1
EntityFramework.SqlServer.dll,,,,,1
EPiServer.ImageLibrary.dll,,,,,1
EPiServer.Cms.UI.Settings.dll,,,https://nuget.optimizely.com/package/?id=EPiServer.CMS.UI.Settings,,1
EPiServer.Cms.TinyMce.SpellChecker.dll,,,,,0
EPiServer.Labs.LanguageManager.dll,,,https://nuget.optimizely.com/package/?id=EPiServer.Labs.LanguageManager,,1
EPiServer.Personalization.Common.dll,,,https://nuget.optimizely.com/package/?id=EPiServer.Personalization.Common,,1
GoogleMapsEditor.dll,,,https://nuget.optimizely.com/package/?id=GoogleMapsEditor,,1
Lucene.Net.QueryParser.dll,,,https://api.nuget.org/v3-flatcontainer/lucene.net.queryparser/index.json,,1
SixLabors.ImageSharp.Web.Providers.Azure.dll,,,,,0
sni.dll,,,,,0
libSkiaSharp.dll,,,https://github.com/mono/SkiaSharp,,1
Lucene.Net.Queries.dll,,,https://api.nuget.org/v3-flatcontainer/lucene.net.queries/index.json,,1
EPiServer.Hosting.dll,,,https://nuget.optimizely.com/package/?id=EPiServer.Hosting,,1
EPiServer.Profiles.Client.Common.dll,,,https://nuget.optimizely.com/package/?id=EPiServer.Profiles.Client.Common,,1
Azure.Extensions.AspNetCore.DataProtection.Blobs.dll,,,https://api.nuget.org/v3-flatcontainer/azure.extensions.aspnetcore.dataprotection.blobs/index.json,,1
EPiServer.Commerce.Reporting.dll,,,,,0
EPiServer.Enterprise.dll,,,,,0
Azure.Storage.Queues.dll,,,https://api.nuget.org/v3-flatcontainer/azure.storage.queues/index.json,,1
Microsoft.ApplicationInsights.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.applicationinsights/index.json,,1
Microsoft.EntityFrameworkCore.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.entityframeworkcore/index.json,,1
Microsoft.IdentityModel.Tokens.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.identitymodel.tokens/index.json,,1
